Arroz - Valor da produção (2023),,
localidade,valor,unidade
Rondônia,151.245,Mil Reais
Acre,4.802,Mil Reais
Amazonas,12.332,Mil Reais
Roraima,164.820,Mil Reais
Pará,173.693,Mil Reais
Amapá,798,Mil Reais
Tocantins,1.359.992,Mil Reais
Maranhão,303.171,Mil Reais
Piauí,146.510,Mil Reais
Ceará,37.209,Mil Reais
Rio Grande do Norte,950,Mil Reais
Paraíba,3.365,Mil Reais
Pernambuco,13,Mil Reais
Alagoas,29.695,Mil Reais
Sergipe,71.532,Mil Reais
Bahia,1.388,Mil Reais
Minas Gerais,17.401,Mil Reais
Espírito Santo,1.134,Mil Reais
Rio de Janeiro,1.576,Mil Reais
São Paulo,71.477,Mil Reais
Paraná,150.399,Mil Reais
Santa Catarina,2.121.804,Mil Reais
Rio Grande do Sul,12.027.341,Mil Reais
Mato Grosso do Sul,67.265,Mil Reais
Mato Grosso,615.427,Mil Reais
Goiás,222.181,Mil Reais
Distrito Federal,-,Mil Reais
Fonte: PAM
,,
